V160001	V160001_orig	age	female	education	leftright	politicalinterest	politicalparticipation	TIPI_extraversion	TIPI_agreeableness	TIPI_conscientiousness	TIPI_emotionalstability	TIPI_openness	V161069	V161072	V161075	V161078	V161098	V161101	V161104	V161106	V161101_doc	V161104_doc	V161106_doc	V161069_doc	V161072_doc	V161075_doc	V161078_doc	V161098_doc	party_id
150	300335	36.0	0.0	3	2.0	2.0	0.0	2.5	5.0	7.0	2.0	5.5	she is a democrat, she is not a republican & she has government experience.  		he is supportive of white people.  	he is a republican, i think he is too seelf centered, his adjenda doesn't support middle class.  	they are supportive of the middle class and generally all  people and they are generally in favor of inferstructure, they support educations & health care.  	some are against right to have guns & some appear to be against white people.  	they are supportive of white people, they are supportive of the gun rights.  	they spend way too much times voting on things in the past such as abbortion, civil rights, they don't suppprt regulations on banks and big business, they appear to be influenced by lobbiest and money.  	some are against right to have guns & some appear to be against white people.  	they are supportive of white people, they are supportive of the gun rights.  	they spend way too much times voting on things in the past such as abbortion, civil rights, they don't suppprt regulations on banks and big business, they appear to be influenced by lobbiest and money.  	she is a democrat, she is not a republican & she has government experience.  		he is supportive of white people.  	he is a republican, i think he is too seelf centered, his adjenda doesn't support middle class.  	they are supportive of the middle class and generally all  people and they are generally in favor of inferstructure, they support educations & health care.  	1.0
151	300336	86.0	0.0	1	0.0	0.0	0.0	6.5	4.5	7.0	1.5	3.0	think se is better tan trump.  personally i do not think any one of them.  brnie sanders should have won.  			he is arrogant.  	everything							think se is better tan trump.  personally i do not think any one of them.  brnie sanders should have won.  			he is arrogant.  	everything	0.0
152	300339	55.0		3	0.0	3.0	0.0	6.5	4.0	6.5	3.0	6.0	szhe is expeerience former frit lady, senator for ny.   secretary of state, she is for education.   i believe in her policies.  			i dont beliebe he is cualified.   he has bacnkcrupted 4 comapnies.  trum university wsas a failure.  	i feel they more represent the people.  	sometimes they get cut up on the retoric of the repuclican agenda.  		i feel they are not represtative of the population and they have their own agenda.  	sometimes they get cut up on the retoric of the repuclican agenda.  		i feel they are not represtative of the population and they have their own agenda.  	szhe is expeerience former frit lady, senator for ny.   secretary of state, she is for education.   i believe in her policies.  			i dont beliebe he is cualified.   he has bacnkcrupted 4 comapnies.  trum university wsas a failure.  	i feel they more represent the people.  	0.0
153	300342	50.0	1.0	2	4.0	2.0	0.0	4.0	4.0	4.0	4.0	4.0		i think she is a liar,		asshole and a liar he is a jerk , pompous									i think she is a liar,		asshole and a liar he is a jerk , pompous		1.0
154	300343	68.0	0.0	1	1.0	3.0	0.0						shes a democrat.  .  shes the best choice we have in this race.  .  			i think hes an idiot.  .  hes is typical person that has gone through life with money and he doesn't have respect for anything.  .  he knows very little	they seem to have values and principles eeem to be similar to mine.  .  	they say to many things that they claim to be important to them and they don't get done.  .  		their views don't seem to match with mine, their principles dont match with mine.  were on two wave lenghts.  .  	they say to many things that they claim to be important to them and they don't get done.  .  		their views don't seem to match with mine, their principles dont match with mine.  were on two wave lenghts.  .  	shes a democrat.  .  shes the best choice we have in this race.  .  			i think hes an idiot.  .  hes is typical person that has gone through life with money and he doesn't have respect for anything.  .  he knows very little	they seem to have values and principles eeem to be similar to mine.  .  	0.0
155	300344	69.0	0.0	3	0.0	2.0	0.0	3.5	4.0	4.0	3.5	5.0	in general, she is not donald trump, general fiscal policies.  			everything, he is out of his cotton picken mind	they tend to be better at taking care of disadvantage people, elderly, and veterans.  	they seem fixated on gun control and this is a waste of time. 		more concerned about rich people and keeping their wealth, than people in general	they seem fixated on gun control and this is a waste of time. 		more concerned about rich people and keeping their wealth, than people in general	in general, she is not donald trump, general fiscal policies.  			everything, he is out of his cotton picken mind	they tend to be better at taking care of disadvantage people, elderly, and veterans.  	0.0
156	300345	62.0	1.0	2	4.0	3.0	0.5	3.5	7.0	7.0	3.5	4.0		i believe shes a liar, i believe she is owned by wall st, i believe she is corrupt,.  i just dont like her.  	i believe hes a good business man i believe hes a good negotiator, .  and i believe he has the bast interests of our country at heart.  and he's not part of the establishment.  			they are not enforcing the laws that are on the books.  everythime there is a shooting they talk about gun control but its not the guns that are killing people it is people that are killing people.  		they are establishment and i'm not crazy about thier stance on abortion.  	they are not enforcing the laws that are on the books.  everythime there is a shooting they talk about gun control but its not the guns that are killing people it is people that are killing people.  		they are establishment and i'm not crazy about thier stance on abortion.  		i believe shes a liar, i believe she is owned by wall st, i believe she is corrupt,.  i just dont like her.  	i believe hes a good business man i believe hes a good negotiator, .  and i believe he has the bast interests of our country at heart.  and he's not part of the establishment.  			1.0
157	300352	42.0	0.0	2	4.0	2.0	0.0	3.5	5.0	4.0	4.0	5.5		i  think it more like fraudulant, i guess you.  s say.  .  	his business ability.  .   just his business savy and help keep the economy better		.  .  	their employment or job ideas.  .  	finanical  future.  .  	the health care ideas.  .  	their employment or job ideas.  .  	finanical  future.  .  	the health care ideas.  .  		i  think it more like fraudulant, i guess you.  s say.  .  	his business ability.  .   just his business savy and help keep the economy better		.  .  	1.0
158	300360	42.0	1.0	2	1.0	2.0	0.5	7.0	6.5	6.0	1.0	6.5	that when clinton was preisendt, it was great times and it will probably be the same.  and she does know foreign policy.  that he is pro life and he made that clear when he talked about the next judges he would appoint.  .  	that she is in bed with the saudis and she takes money from muslim groups.  .  	the fact that he doesn't owe anyone momey and he doesn't owe any middle easterns money.  .  	he is highly unqulaified and has no experience in foreeign politics.  .  	that theyre not all the rich people that don'r give a crap about the poor people.  they are more relaistic and more with the times.  .  			sarah palin and the fact that they are old people living in the dinosuar ages and they're bvery immature about healthcare and they are bullies.  .  			sarah palin and the fact that they are old people living in the dinosuar ages and they're bvery immature about healthcare and they are bullies.  .  	that when clinton was preisendt, it was great times and it will probably be the same.  and she does know foreign policy.  that he is pro life and he made that clear when he talked about the next judges he would appoint.  .  	that she is in bed with the saudis and she takes money from muslim groups.  .  	the fact that he doesn't owe anyone momey and he doesn't owe any middle easterns money.  .  	he is highly unqulaified and has no experience in foreeign politics.  .  	that theyre not all the rich people that don'r give a crap about the poor people.  they are more relaistic and more with the times.  .  	0.0
159	300361	25.0	0.0	2	4.0	2.0	0.5	4.0	4.5	5.5	2.5	6.0	history of dealing with people in wahington.  	scandals emails bengahzi.   contradictions.  	does not hav washington politics behind him new perspecrive.  	does not talk like a politician.  	wants to give rights to everyone.  	the fact that it is a party	christian values.  	the fact that it is a party in general/	the fact that it is a party	christian values.  	the fact that it is a party in general/	history of dealing with people in wahington.  	scandals emails bengahzi.   contradictions.  	does not hav washington politics behind him new perspecrive.  	does not talk like a politician.  	wants to give rights to everyone.  	1.0
160	300363	55.0	0.0	2	4.0	3.0	0.0	5.0	4.5	5.0	3.0	6.0		well i dont think shes honest i think shes self serving i think the foundation is a slush fund, they certainly enriched themselves when she was secretary of state, bengazi, they requested extra security over 600 times and she couldn't even bother returning email, blamed it on a video, how do you look people in the  eye and know that you are lying to them?.  	i think he's gonna shape things up and he's not beholden to anyone yet, special interests, i think he has a chance to actually do something, i think with his building experience he will be able to get things done.  	i think he can shoot from the lip a little too fast, but i think hell surround himself with good people that will keep him in check and i know his kids will keep him in check.  		oh god i could be here all day, they are just hypocritical and let stuff sit on thier desk, just shove stuff through just the healthcare that they shoved that through and not a single repbulican voted for it.  	it's the party of smaller government but they are supposed to be for limited government and letting people do thier own thing and not interfereing too much, both of the parties are kind of the same, out for themselves and special interests right now.  	the leadership.  	oh god i could be here all day, they are just hypocritical and let stuff sit on thier desk, just shove stuff through just the healthcare that they shoved that through and not a single repbulican voted for it.  	it's the party of smaller government but they are supposed to be for limited government and letting people do thier own thing and not interfereing too much, both of the parties are kind of the same, out for themselves and special interests right now.  	the leadership.  		well i dont think shes honest i think shes self serving i think the foundation is a slush fund, they certainly enriched themselves when she was secretary of state, bengazi, they requested extra security over 600 times and she couldn't even bother returning email, blamed it on a video, how do you look people in the  eye and know that you are lying to them?.  	i think he's gonna shape things up and he's not beholden to anyone yet, special interests, i think he has a chance to actually do something, i think with his building experience he will be able to get things done.  	i think he can shoot from the lip a little too fast, but i think hell surround himself with good people that will keep him in check and i know his kids will keep him in check.  		1.0
161	300364	76.0	1.0	3	0.0	3.0	0.5	3.5	6.5	6.5	1.5	5.5	dhr'd vrey dvhooled in polityics important to be able to transverse the political field; good job as sec of state, not happy about the dem platform on abortion.  	.  		personality, he wasn't a--he was a business man and that's good but don'tknow how great a business man he is.   doesn't habve the character for the presidency.  	likr the fact tht they are more people orienctated; republicaitons are more business oriented; like most of their social platforms.  	don't like their stand on abortion.  	think their platform of supporting  business is good and encouraing growth but i think they are weak on social platform.  	a party of the wealthy.  	don't like their stand on abortion.  	think their platform of supporting  business is good and encouraing growth but i think they are weak on social platform.  	a party of the wealthy.  	dhr'd vrey dvhooled in polityics important to be able to transverse the political field; good job as sec of state, not happy about the dem platform on abortion.  	.  		personality, he wasn't a--he was a business man and that's good but don'tknow how great a business man he is.   doesn't habve the character for the presidency.  	likr the fact tht they are more people orienctated; republicaitons are more business oriented; like most of their social platforms.  	0.0
162	300371	31.0	1.0	3	0.0	3.0	0.5	5.0	4.5	7.0	1.0	6.5	i think she is a strong candidate has done alot of good in her 30 years and she has good temperament.  i think she is a strong role model females although do i do not think she is perfect throught her career she has done a very good job.  			he is racist biggoted masogistated zenophobic asshole.  he is the embodiment of white male privilege thinks women are only valuale if attractive.   there is more about him alot i dislike all in all i think he is a terrible person he is also on trial for raping 13 year old and made inappropiate comments on 10 years old that bothers me in a very deep level.  i dont if he is actually on trial but he is being charge for raping 13 year old.  	i like lgbtq rights.  i like trying to make healthcare affordable.  i like how they are trying to make the wage cap disappear.  i like the pro choice. .  	more light needs to be shed on transgender issues it has been touched up on but not enough is being done.  i think there also needs to be a stronger movement make the judicial system bias towards people of color.  	their sense patriotism even though sometimes its misplaced.  	i don;t like the abortion issues is womens choice its mainly christianity governement and religion needs to seperate there needs to be an amendment on the 2nd amendment i don;t like how there followers are being towards be people of other religions or are different and i don't like towards me and my fellow lgbt members or their views towards us.  	more light needs to be shed on transgender issues it has been touched up on but not enough is being done.  i think there also needs to be a stronger movement make the judicial system bias towards people of color.  	their sense patriotism even though sometimes its misplaced.  	i don;t like the abortion issues is womens choice its mainly christianity governement and religion needs to seperate there needs to be an amendment on the 2nd amendment i don;t like how there followers are being towards be people of other religions or are different and i don't like towards me and my fellow lgbt members or their views towards us.  	i think she is a strong candidate has done alot of good in her 30 years and she has good temperament.  i think she is a strong role model females although do i do not think she is perfect throught her career she has done a very good job.  			he is racist biggoted masogistated zenophobic asshole.  he is the embodiment of white male privilege thinks women are only valuale if attractive.   there is more about him alot i dislike all in all i think he is a terrible person he is also on trial for raping 13 year old and made inappropiate comments on 10 years old that bothers me in a very deep level.  i dont if he is actually on trial but he is being charge for raping 13 year old.  	i like lgbtq rights.  i like trying to make healthcare affordable.  i like how they are trying to make the wage cap disappear.  i like the pro choice. .  	0.0
163	300375	52.0	0.0	1	1.0		0.0							took my job away from me, she can say on tv i', shuttting all the coal mines down.  	hope he brings all the work back in thre us.  		they try to keep people working.  		starting to stand up for the people.  			starting to stand up for the people.  			took my job away from me, she can say on tv i', shuttting all the coal mines down.  	hope he brings all the work back in thre us.  		they try to keep people working.  	0.0
164	300376	35.0	0.0	3	2.0	2.0	0.5	5.0	6.5	5.0	2.5	6.5	probably her policy recrod from her time in the senate.  as far as ideology she is closer to what you believe in.  	afraid we'd get into more wars.  afriad of her supporting legislation like the tpp.   and keystone pipeline.  	hes not an esatblishment candidate.   only reason in a million years id consider voting for him.  he walks to his beat.  he doesnnt answer people.  	absolutely evenything elss;; to be more specifc.   it doesnt believe in racism or deportation/what bohters me about him is that he encourages a side of people that we don't need to bee seeing.  as a result of him running we've been more diviide then ever.  	they are more in line with your progressive views the republicians.  	i feel like they are too comprosmising.  they don't get much done.  	i think they understand the concept of unity better then some parties do.  	trickle down economics.  probably their hypper proo religious stances.   not anti relgion.  obstructionsim.  	i feel like they are too comprosmising.  they don't get much done.  	i think they understand the concept of unity better then some parties do.  	trickle down economics.  probably their hypper proo religious stances.   not anti relgion.  obstructionsim.  	probably her policy recrod from her time in the senate.  as far as ideology she is closer to what you believe in.  	afraid we'd get into more wars.  afriad of her supporting legislation like the tpp.   and keystone pipeline.  	hes not an esatblishment candidate.   only reason in a million years id consider voting for him.  he walks to his beat.  he doesnnt answer people.  	absolutely evenything elss;; to be more specifc.   it doesnt believe in racism or deportation/what bohters me about him is that he encourages a side of people that we don't need to bee seeing.  as a result of him running we've been more diviide then ever.  	they are more in line with your progressive views the republicians.  	1.0
165	300377	25.0	0.0	1	0.0	3.0	0.0	4.0	4.5	5.0	4.5	5.0				do not think he is fit to be president											do not think he is fit to be president		0.0
166	300383	34.0	1.0	1	6.0	3.0	0.5	6.5	6.5	5.0	3.5	7.0		shes a liar, i don;t like her at all		when he opens his mouth, not a big fan of manipulators, hes a bigot		there stance on pro life issues and they vote to raise taxes and obama care	there stance on pro life issues.  taxes they usually vote to lower taxes	i dont like the way they do politics and every one has there hands in our pockets, normally wont vote for mandatory health care	there stance on pro life issues and they vote to raise taxes and obama care	there stance on pro life issues.  taxes they usually vote to lower taxes	i dont like the way they do politics and every one has there hands in our pockets, normally wont vote for mandatory health care		shes a liar, i don;t like her at all		when he opens his mouth, not a big fan of manipulators, hes a bigot		2.0
167	300386	38.0	1.0	2	3.0	2.0	0.0	2.5	5.0	4.5	4.0	5.0		lost emails.  .   i haven't been particularly happy with the way she's dealt with foreign policies.  i think this could and should have been handled differently.  .  	i kind of like his stance on not bringing in refugees and things when we have so much going on here that needs attention.  i know it's kind of barbaric, but i like that.  .   he's failed at business several times, that makes me a little concerned.  .   i like how he's very up front abou tthings.  i think politicians tend to lie and he just tends to throw it right out there.  .  	his companies filed bankruptcy.  .  	nothing strikes me off hand.  there's been controversy in both, but there's been good in both as well.  .  			i was a little concerned with the way they endorsed their presidential candidate.  it showed a little something like weakness maybe.  .  			i was a little concerned with the way they endorsed their presidential candidate.  it showed a little something like weakness maybe.  .  		lost emails.  .   i haven't been particularly happy with the way she's dealt with foreign policies.  i think this could and should have been handled differently.  .  	i kind of like his stance on not bringing in refugees and things when we have so much going on here that needs attention.  i know it's kind of barbaric, but i like that.  .   he's failed at business several times, that makes me a little concerned.  .   i like how he's very up front abou tthings.  i think politicians tend to lie and he just tends to throw it right out there.  .  	his companies filed bankruptcy.  .  	nothing strikes me off hand.  there's been controversy in both, but there's been good in both as well.  .  	1.0
168	300387	73.0		3	4.0	3.0	0.0	3.0	7.0	6.5	1.0	4.0		shes not honest and trustworthy.  .  	hes an outsider.  .  hes not a politician	his inability to stay focused		their liberal leanings.  .  	emphasis on individual rigts.  .   constitutional law	their lack of leadership.  .  too willing to compromise on important issues	their liberal leanings.  .  	emphasis on individual rigts.  .   constitutional law	their lack of leadership.  .  too willing to compromise on important issues		shes not honest and trustworthy.  .  	hes an outsider.  .  hes not a politician	his inability to stay focused		1.0
169	300389	52.0	1.0	3	1.0	2.0	0.0	5.0	6.0	6.0	4.5	6.0	i like her experience even though she has made some mistakes.  she has the experience.  .  	the email scandal has me a little worried.  i am not sure how honest she is being. .  		being a teacher i have alot of hispanis students and they think that they might get kicked out if donald trumo beciomes president.  i think he has an anger issue.  i am afraid he is not level heading, he says what comes out of his mind and is not level headed with anger issues. the one thing that bothers durig the primaries when he attacked his wife publically and stated look how un=gly she is in front of millions of people.  it is difinitely not good leadership is is cruel.  anf the wall is ridiculous. .  	they are more social society.  they seem to care about everybody in the country.  .  							i like her experience even though she has made some mistakes.  she has the experience.  .  	the email scandal has me a little worried.  i am not sure how honest she is being. .  		being a teacher i have alot of hispanis students and they think that they might get kicked out if donald trumo beciomes president.  i think he has an anger issue.  i am afraid he is not level heading, he says what comes out of his mind and is not level headed with anger issues. the one thing that bothers durig the primaries when he attacked his wife publically and stated look how un=gly she is in front of millions of people.  it is difinitely not good leadership is is cruel.  anf the wall is ridiculous. .  	they are more social society.  they seem to care about everybody in the country.  .  	0.0
170	300393	66.0	1.0	2	6.0		0.0							she's a crook. .   she lies.   she's horrible to her staff, and i don't want bill clinton in the white house either.   they should both be in jail. .  i just don't trust her.   i think she just says what people want to hear. 	he wants to make the country better, and will do whatever he can.   if he steps on toes, he doesn't care.   he will do what has to be done. .   he's a straight shooter.   he will do what needs to be done to get this country out of debt.   he won't let the other countries run over us.  .  			i don't like their health care program.   how they're handling isis.  their educational plan.  dealings with foreign policy. .  honesty in our democratic leaders. .  	i think their views on health care are better.   foreign policy is better.   health care.   our military, also.   strengthen our military.   changes for the good. .  	they're not standing together very well or supporting each other. .  	i don't like their health care program.   how they're handling isis.  their educational plan.  dealings with foreign policy. .  honesty in our democratic leaders. .  	i think their views on health care are better.   foreign policy is better.   health care.   our military, also.   strengthen our military.   changes for the good. .  	they're not standing together very well or supporting each other. .  		she's a crook. .   she lies.   she's horrible to her staff, and i don't want bill clinton in the white house either.   they should both be in jail. .  i just don't trust her.   i think she just says what people want to hear. 	he wants to make the country better, and will do whatever he can.   if he steps on toes, he doesn't care.   he will do what has to be done. .   he's a straight shooter.   he will do what needs to be done to get this country out of debt.   he won't let the other countries run over us.  .  			2.0
171	300398	65.0	1.0	2	1.0		0.0						because she's a woman. .   because she's worked in the statehouse.  she's smarter. .   she's for the middle class, she's not for the rich like the other one is. .   i just like her.  i like how she presents herself. .  			he's against women.   i don't like the way he talks and handles himself. .   i don't believe him. .   i don't like the way he treats the vetrans, he makes fun of them, it's aweful. .   i don't like the way he acts, he doesn't act like apresident. .   i think he's lying, i don't believe him. .  	they help the poor and middle class.  			you don't like how they handle wars, how they communicate. .   they seem to help other countries and not their own. .   they seem to be for the rich, not for the poor like democrats.  			you don't like how they handle wars, how they communicate. .   they seem to help other countries and not their own. .   they seem to be for the rich, not for the poor like democrats.  	because she's a woman. .   because she's worked in the statehouse.  she's smarter. .   she's for the middle class, she's not for the rich like the other one is. .   i just like her.  i like how she presents herself. .  			he's against women.   i don't like the way he talks and handles himself. .   i don't believe him. .   i don't like the way he treats the vetrans, he makes fun of them, it's aweful. .   i don't like the way he acts, he doesn't act like apresident. .   i think he's lying, i don't believe him. .  	they help the poor and middle class.  	0.0
172	300400	45.0	1.0	3	6.0	2.0	0.0	4.0	5.5	5.0	4.5	5.5		bengazi email scandal i think she is an absoulute crimanal who pays to kill people.  	he different not the political machine he says what he thinks which is not allways a good thing but he says what he thinks i think he is a very intelligent man he will surround himself with people who will be able to help him lead.  		i think they are well intended.  	it doesn't do any good to work hard in this country no one will ever strive to be more than medocre.  	conservative values believe they are well intended.  	sometimes their conservatives values are too conservatives and get in the way stanch conservatives push people away.  	it doesn't do any good to work hard in this country no one will ever strive to be more than medocre.  	conservative values believe they are well intended.  	sometimes their conservatives values are too conservatives and get in the way stanch conservatives push people away.  		bengazi email scandal i think she is an absoulute crimanal who pays to kill people.  	he different not the political machine he says what he thinks which is not allways a good thing but he says what he thinks i think he is a very intelligent man he will surround himself with people who will be able to help him lead.  		i think they are well intended.  	2.0
173	300402	59.0	0.0	2	6.0	2.0	0.0	3.5	4.5	4.5	4.0	5.0		all the scandals they have been in .  not a good secretary of state.  [redacted details] in bengazi.  	he has companies here and head and shoulders above her in business.  wants to make our country self sufficient.   and build a wall between ud and mexico.   and will get rid of foreigners taking jobs.  he stood for veterans.  				they have more information about the standing of the politics and bring our more to make americans aware.  more open.  			they have more information about the standing of the politics and bring our more to make americans aware.  more open.  			all the scandals they have been in .  not a good secretary of state.  [redacted details] in bengazi.  	he has companies here and head and shoulders above her in business.  wants to make our country self sufficient.   and build a wall between ud and mexico.   and will get rid of foreigners taking jobs.  he stood for veterans.  			2.0
174	300403	25.0	0.0	2	4.0	1.0	0.0	3.0	5.0	5.0	4.0	5.0				just how he talks how he speaks he doesn't seem that he has a good head on his shoulders.  he is just not ready.   he just doens't like them all the same.  											just how he talks how he speaks he doesn't seem that he has a good head on his shoulders.  he is just not ready.   he just doens't like them all the same.  		1.0
175	300404	37.0	1.0	3	0.0	2.0	0.5	6.0	5.5	6.0	3.0	7.0	i think that she is intellgent qualified think major political she srives i support strongly			his overall conduct towards peoplke who are not like him his ability to conduct his own deamenor in high stress situations his poor treatment and verbal assult towards women immigrants minorities annyone from lgbt comminity	really like the efoort and ideas behind health care intitative /appreciate whats gone on in terms of redistrubute claas perimsators for upper class middle clasa.   changes made for lgbt rights in work place and gay marriage/ womans rights in the work place/ attemepts to bring equality/appreicate diplomacy been used over last 8 years conversations with other countries	think that having high expectations for change there has been short comings of the execution of those ideas and plans/ idealism but exection and delivery not always throughly delivered	like the concept of allowing the natural stimulation of the ecomny with meddling that functions to settle out naturally	i do not like tax distribution / dont like the views on health care/ views lgbt issues/what occured on wall st and large banks/transpired in 2008 crash of market and what proceeeded it/ dont like rich get richer poor get pooer	think that having high expectations for change there has been short comings of the execution of those ideas and plans/ idealism but exection and delivery not always throughly delivered	like the concept of allowing the natural stimulation of the ecomny with meddling that functions to settle out naturally	i do not like tax distribution / dont like the views on health care/ views lgbt issues/what occured on wall st and large banks/transpired in 2008 crash of market and what proceeeded it/ dont like rich get richer poor get pooer	i think that she is intellgent qualified think major political she srives i support strongly			his overall conduct towards peoplke who are not like him his ability to conduct his own deamenor in high stress situations his poor treatment and verbal assult towards women immigrants minorities annyone from lgbt comminity	really like the efoort and ideas behind health care intitative /appreciate whats gone on in terms of redistrubute claas perimsators for upper class middle clasa.   changes made for lgbt rights in work place and gay marriage/ womans rights in the work place/ attemepts to bring equality/appreicate diplomacy been used over last 8 years conversations with other countries	0.0
176	300406	66.0	1.0	1	0.0	2.0	0.0	3.5	4.0	3.5	4.0	3.5	shes got the experience.  she's not crazy up on stage.  she doesn't say ridiculous things.  i like watching trump only because he is crazy.  he is entertaining. .  no			he's not real.  i wont vote for him because he is not real. .  he just makes ridiculous statements.  ourrageoius statements. .  	well, nah.  if she is going to be anything like obama, she's going to be great. .  i like the way she conducts herself on stage.  the way she does the debates, she keeps it cool. .  no			donald trump is running.  if there were another person maybe. .  that's it			donald trump is running.  if there were another person maybe. .  that's it	shes got the experience.  she's not crazy up on stage.  she doesn't say ridiculous things.  i like watching trump only because he is crazy.  he is entertaining. .  no			he's not real.  i wont vote for him because he is not real. .  he just makes ridiculous statements.  ourrageoius statements. .  	well, nah.  if she is going to be anything like obama, she's going to be great. .  i like the way she conducts herself on stage.  the way she does the debates, she keeps it cool. .  no	0.0
177	300408	74.0	0.0	3	6.0	2.0	0.0	5.5	6.5	6.0	2.0	5.0		feel she is devious person evil.  	interested in jobs.  	someties talks without thinking changes opinion.  		drifting toward socalilsm/	more interested in the job market/economy/	not concistent on constiutional issues/	drifting toward socalilsm/	more interested in the job market/economy/	not concistent on constiutional issues/		feel she is devious person evil.  	interested in jobs.  	someties talks without thinking changes opinion.  		2.0
178	300423	28.0	0.0	3	3.0		0.0							her ethical history.  	too agressive.  		they welcome immigrants.   are more open to help other countries.  	they are too liberal.  	they are more patriotic.  	they dont like immigrants.  	they are too liberal.  	they are more patriotic.  	they dont like immigrants.  		her ethical history.  	too agressive.  		they welcome immigrants.   are more open to help other countries.  	1.0
179	300424	57.0	1.0	1	0.0	3.0	0.0	4.0	4.0	5.0	3.5	4.5	some of the things that says and she will do. 			dont trust him. the way and the way he acts. .  	they try to do more to help people out that the republican party.  			sometimes i feel that they overlook poorer people.  			sometimes i feel that they overlook poorer people.  	some of the things that says and she will do. 			dont trust him. the way and the way he acts. .  	they try to do more to help people out that the republican party.  	0.0
180	300434	27.0	0.0	1	3.0		0.0							.  too much media stuff about the email scandal											.  too much media stuff about the email scandal				1.0
181	300437	24.0	0.0	2	1.0	2.0	0.0	5.0	4.0	5.5	3.5	5.0	definitely the experience, pro union.  .  	bengazzi incident, just don't know about her, she seems much about the politician, heard it all before, i have an inclination that tha is all she is doing.  .  	he seems  like he would be agreeive, not ina bad way and he is tough of deals with foreign countries and all of that, he seems likea man of action	temperpemant; he did not help his case there, his poor reation between business and government, his thinking that will work aas well as it does, he  is unsure about that, worried about him starting a war, an unnecessarly one.  .  	tend to favor the middle class or so it seems, more diplomatic with foreeign affairs; attempt to spread the weath a litle more and so not favor the wealthy.  .  	maybe too leiiiiiiiiienet on foreign policies, too laid back, i don't know how financilaly sound the plans are.  .  	they tend to be strong in foreign affairs, i think financially , economically have some good points;.  .  	they seem to be the epitimy of big ideas, seem to favor the weathly, foreign affairs has not worked well all of the time, kinds of a catch 22.  .  	maybe too leiiiiiiiiienet on foreign policies, too laid back, i don't know how financilaly sound the plans are.  .  	they tend to be strong in foreign affairs, i think financially , economically have some good points;.  .  	they seem to be the epitimy of big ideas, seem to favor the weathly, foreign affairs has not worked well all of the time, kinds of a catch 22.  .  	definitely the experience, pro union.  .  	bengazzi incident, just don't know about her, she seems much about the politician, heard it all before, i have an inclination that tha is all she is doing.  .  	he seems  like he would be agreeive, not ina bad way and he is tough of deals with foreign countries and all of that, he seems likea man of action	temperpemant; he did not help his case there, his poor reation between business and government, his thinking that will work aas well as it does, he  is unsure about that, worried about him starting a war, an unnecessarly one.  .  	tend to favor the middle class or so it seems, more diplomatic with foreeign affairs; attempt to spread the weath a litle more and so not favor the wealthy.  .  	0.0
182	300448	23.0	0.0	2	4.0	2.0	0.0	3.5	5.0	4.5	4.0	5.0		lies.  stuff that  she hides from us											lies.  stuff that  she hides from us				1.0
183	300450	43.0	0.0	3	2.0	2.0	0.0	3.0	4.5	5.5	2.0	6.5	pro life	not truthful	good businessman	very racist	pro choice	anti second ammendment stance	pro second ammendment	pro life	anti second ammendment stance	pro second ammendment	pro life	pro life	not truthful	good businessman	very racist	pro choice	1.0
184	300453	58.0	1.0	3	4.0	2.0	0.0	4.5	5.0	6.0	3.0	5.0		lock of trust.  	his running mate.  	his communications skills.  		ihey all are politicians thay why i do not like this party.  		i think they stick together.  	ihey all are politicians thay why i do not like this party.  		i think they stick together.  		lock of trust.  	his running mate.  	his communications skills.  		1.0
185	300454	42.0	1.0	1	0.0	2.0	0.0	3.5	7.0	6.0	3.5	5.0	she knows the reasons the ins and out/ she was first lady			he is already rich/ arrogant/ not taking it serious								she knows the reasons the ins and out/ she was first lady			he is already rich/ arrogant/ not taking it serious		0.0
186	300456	57.0	1.0	2	1.0	0.0	0.0	5.0	7.0	6.5	4.0	6.0	she knows how to run the country.  .  			hes trash, i don't trust him.  								she knows how to run the country.  .  			hes trash, i don't trust him.  		0.0
187	300458	30.0	1.0	1	2.0	3.0	0.0	4.0	5.0	7.0	3.0	6.5				he is very negagtive he doesngt say anything positive.   this is why i dont follow.  he is giving jobs to othefr countries rally?? i know is a choice if you want to work but. . . 	they are for the people	they charge hgh taxes in businesses and that is what have affected our jobs		people suffer.   i dont know how to explaine it.   they are more into going to war, like obama you see. . . 	they charge hgh taxes in businesses and that is what have affected our jobs		people suffer.   i dont know how to explaine it.   they are more into going to war, like obama you see. . . 				he is very negagtive he doesngt say anything positive.   this is why i dont follow.  he is giving jobs to othefr countries rally?? i know is a choice if you want to work but. . . 	they are for the people	1.0
188	300460	69.0	0.0	1	1.0		0.0						she has experience, much better president compared to trump, more for poor class, also husband exprience and she has a lot of exprience.  			don't think he is honest, no respect for woman, don't pay people, he ingnort.  	more for the lower and middle class.  			the are more the upper class and rich.  			the are more the upper class and rich.  	she has experience, much better president compared to trump, more for poor class, also husband exprience and she has a lot of exprience.  			don't think he is honest, no respect for woman, don't pay people, he ingnort.  	more for the lower and middle class.  	0.0
